"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"91548","Colbeck, Sen Richard","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-15%2F0182%22;src1=sm1","txt","","",""
"92162","Fielding, Sen Steve","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0563%22;src1=sm1","txt","","",""
"92163","Joyce, Sen Barnaby","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0565%22;src1=sm1","txt","","",""
"92164","Boswell, Sen Ron","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0560%22;src1=sm1","txt","","",""
"92165","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0553%22;src1=sm1","txt","","",""
"92166","Hurley, Sen Annette","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0551%22;src1=sm1","txt","","",""
"92167","O’Brien, Sen Kerry","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0546%22;src1=sm1","txt","","",""
"92168","Heffernan, Sen Bill","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0562%22;src1=sm1","txt","","",""
"92169","Campbell, Sen George","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0548%22;src1=sm1","txt","","",""
"92170","Allison, Sen Lyn","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0554%22;src1=sm1","txt","","",""
"92171","McGauran, Sen Julian","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0555%22;src1=sm1","txt","","",""
"92172","Bartlett, Sen Andrew","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0547%22;src1=sm1","txt","","",""
"92174","Kirk, Sen Linda","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0552%22;src1=sm1","txt","","",""
"92175","McEwen, Sen Anne","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0550%22;src1=sm1","txt","","",""
"92176","Joyce, Sen Barnaby","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0559%22;src1=sm1","txt","","",""
"92177","Ronaldson, Sen Michael","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0556%22;src1=sm1","txt","","",""
"92178","Birmingham, Sen Simon","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0558%22;src1=sm1","txt","","",""
"92179","Kemp, Sen Rod","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0557%22;src1=sm1","txt","","",""
